,
الفرق بين الفرق,MOSLEM SCHISMS AND SECTS
,(Al-Fark Bain al-Firak)
"المؤلف: عبد القاهر بن طاهر بن محمد بن عبد الله البغدادي التميمي الأسفراييني، أبو منصور (ت 429هـ)",Abu-Mansur ‘abd-al-Kahir ibn-Tahir al-Baghdadi (d. 1037)
,
الْبَاب الأول فِي بَيَان الحَدِيث الْمَأْثُور فِي افْتِرَاق الْأمة,PART 1
,AN EXPLANATION OF THE WELL-KNOWN TRADITIONS IN REGARD TO THE DIVISIONS OF THE (MOSLEM) COMMUNITY
أخبرنَا أَبُو سهل بشر بن أَحْمد بن بشار الإسفراءيني قَالَ أخبرنَا عبد الله بن نَاجِية قَالَ حَدثنَا وهب بن بَقِيَّة عَن خَالِد ابْن عبد الله عَن مُحَمَّد بن عَمْرو عَن أبي سَلمَة عَن أبي هُرَيْرَة قَالَ قَالَ رَسُول الله صلى الله عليه وسلم افْتَرَقت الْيَهُود على إِحْدَى وَسبعين فرقة وَتَفَرَّقَتْ النَّصَارَى على اثْنَتَيْنِ وَسبعين فرقة وتفترق أمتي على ثَلَاث وَسبعين فرقة,"Abu-Sahl Bishr ibn-Ahmad ibn- Bashshar al-Isfara’ini, ‘Abdallah ibn-Najiyah, Wahb ibn- Bakiyyah, Khalid ibn-‘Abdallah, Muhammad ibn-‘Amr, abu-Salmah, abu-Hurairah that the last said, the prophet of Allah—peace be unto him said: “The Jews are divided into 71 sects, and the Christians are divided into 72 sects, and my people will be divided into 73 sects.'"
أخبرنَا أَبُو مُحَمَّد عبد الله بن مُحَمَّد بن على بن زِيَاد السميذي الْعدْل الثِّقَة قَالَ أخبرنَا أَحْمد بن الْحسن بن عبد الْجَبَّار قَالَ حَدثنَا الْهَيْثَم بن خَارِجَة قَالَ حَدثنَا إِسْمَاعِيل بن عَبَّاس عَن عبد الرَّحْمَن بن زِيَاد بن أنعم عَن عبد الله بن يزِيد عَن عبد الله بن عَمْرو قَالَ قَالَ رَسُول الله صلى الله عليه وسلم ليَأْتِيَن على أمتي مَا أَتَى على بني إِسْرَائِيل تفرق بَنو اسرائيل على اثْنَتَيْنِ وَسبعين مِلَّة وَسَتَفْتَرِقُ امتى على ثَلَاث وَسبعين مِلَّة تزيد عَلَيْهِم مِلَّة كلهم فِي النَّار إلا مِلَّة وَاحِدَة قَالُوا يَا رَسُول الله من الْملَّة الْوَاحِدَة الَّتِي تنْقَلب قَالَ مَا أَنا عَلَيْهِ وأصحابي,"And we are told by abu-Muhammad ‘Abdallah ibn-‘Ali ibn- Ziyad al-Sumaidhi, who is considered of interest and authoritative, that he heard through the following chain of authorities: Ahmad ibn-al-Hasan ibn-‘Abd al-Jabbar, al- Haitham ibn-Kharijah, Isma‘il ibn-‘Abbas, ‘Abd-al-Rahman ibn-Ziyad ibn-An‘am, ‘Abdallah ibn-Yazid, ‘Abdallah ibn- ‘Amr, that the prophet of Allah said: ""Verily there will happen to my people what happened to the Banu Isra’il. The Banu Isra’il are divided into 72 religious bodies, and my people will be divided into 73 religious bodies, exceeding them by one. All of them are destined to hell fire except one.'’ They said: “O, prophet of Allah, which is the one religious body that will escape the fire?"" He said: “That to which I belong, and my companions.”"
أخبرنَا القَاضِي أَبُو مُحَمَّد عبد الله بن عمر الْمَالِكِي قَالَ حَدثنَا أبي عَن أَبِيه قَالَ حَدثنَا الْوَلِيد بن مسلمة قَالَ حَدثنَا الاوزاعي قَالَ حَدثنَا قَتَادَة عَن انس عَن النَّبِي صلى الله عليه وسلم قَالَ أن بنى إِسْرَائِيل افْتَرَقت على إِحْدَى وَسبعين فرقة وَإِن امتى سَتَفْتَرِقُ على ثِنْتَيْنِ وَسبعين فرقة كلهَا فِي النَّار إِلَّا وَاحِدَة وهى الْجَمَاعَة,"The Kadi abu-Muhammad ‘Abdallah ibn-‘Umar, the Malikite, says: ""We have it from my father, who had it from his father, that Walid ibn-Maslamah said that al-Auza‘i said that we are told by Katadah, who had it from Anas, who had it from the Prophet: ‘Lo, the Banu Isra’Il are divided into 71 sects, and lo my people will be divided into 72 sects, all of them destined to hell fire except one, and these are the true believers.”"
