THE,كتاب الأموال
Book,لأبي عبيد القاسم بن سلام 
OF,
Revenue,
Abu 'Ubayd al-Qasim ibn Sallam,
Chapter 1,سقطمنالنسخة
Introduction:,
The Ruler and the Wealth of Subjects,
"In the name of God, the Beneficent, the Merciful, and (with) prayers and blessings on Muhammad and his family.",بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
,وَصَلَّى اللَّهُ عَلَى مُحَمَّدٍ وَآلِهِ وَسَلَّمَ
"Read out to the noble lady, the scribe, the pride of women, Shuhda bin Abi Nasr Ahmad ibn al-Faraj ibn 'Umar al-Ibari al-Dlnawari, at her residence in Baghdad on the 11th day of Shahan, 564 A.H.","قُرِئَ عَلَى الشَّيْخَةِ الصَّالِحَةِ الْكَاتِبَةِ فَخْرِ النِّسَاءِ , شُهْدَةَ بِنْتِ أَبِي نَصْرِ أَحْمَدَ بْنِ الْفَرَجِ بْنِ عُمَرَ الْإِبَرِيُّ الدَّيْنُورِيُّ بِمَنْزِلِهَا بِبَغْدَادَ فِي الْحَادِي عَشَرَ مِنْ شَعْبَانَ سَنَةَ أَرْبَعٍ وَسِتِّينَ وَخَمْسِمِائَةٍ:"
"Abu al-FawSris Tirad ibn Muhammad ibn ‘Ali al-Zaynabl related to you on the 2nd day of DhPl Hijja in the year 490 A.H. from Abu al-Hasan Ahmad ibn ‘Ali al-Badi from Abu <Ali Hamid ibn Muhammad ibn al-Harawi from ‘Ali ibn ‘Abd al-Aziz al-BaghawI from Abu ‘Ubayd al-Qasim ibn Sallam al-Azdi, may God be pleased with him, that he said:","أَخْبَرَكُمْ النَّقِيبُ الْكَامِلُ أَبُو الْفَوَارِسِ طَرَّادُ بْنُ مُحَمَّدِ بْنِ عَلِيِِّ الزَّيْنَبِيُّ , فِي ثَانِي ذِي الْحِجَّةِ مِنْ سَنَةِ تِسْعِينَ وَأَرْبَعِمِائَةٍ , أَخْبَرَنَا أَبُو الْحَسَنِ أَحْمَدُ بْنُ عَلِيٍّ الْبَادِيُّ، أَخْبَرَنَا أَبُو عَلِيٍّ حَامِدُ بْنُ مُحَمَّدِِ الْهَرَوِيُّ، أَخْبَرَنَا عَلِيُّ بْنُ عَبْدِ الْعَزِيزِ الْبَغَوِيُّ، حَدَّثَنَا أَبُو عُبَيْدٍ الْقَاسِمُ بْنُ سَلَّامٍ الْأَزْدِيُّ رَضِيَ اللَّهُ عَنْهُ قَالَ:"
Right of the Ruler (Imam) Over the Subjects and the Right of the Subjects Over the Ruler,"1 - بَابُ حَقِّ الْإِمَامِ عَلَى الرَّعِيَّةِ، وَحَقِّ الرَّعِيَّةِ عَلَى الْإِمَامِ"
,
Right of the Ruler (Imam),سقطمنالنسخة
"(1) Ism3‘ll ibn Ayyash related to us from Suhayl ibn Abi Salih from ‘Ata' ibn Yazid al-Laythi from Tamim (ibn Aws) al-Dari that he said: “The Messenger of God (peace be upon him [hereinafter abbreviated to (pbuh)]) said: ‘Din (religion) is sincere advice.’* It was said: ‘For whom, O Messenger of God?’ He replied: ‘For (the sake of) God, His Messenger, His Book, the rulers (a'imma), and for the Muslim community.’”","حَدَّثَنَا إِسْمَاعِيلُ بْنُ عَيَّاشٍ، عَنْ سُهَيْلِ بْنِ أَبِي صَالِحٍ، عَنْ عَطَاءِ بْنِ يَزِيدَ اللَّيْثِيِّ، عَنْ تَمِيمٍ الدَّارِيِّ، قَالَ: قَالَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «الدِّينُ النَّصِيحَةُ» قِيلَ: لِمَنْ يَا رَسُولَ اللَّهِ؟ قَالَ: «لِلَّهِ وَلِرَسُولِهِ، وَلِكِتَابِهِ، وَلِلْأَئِمَّةِ وَلِجَمَاعَةِ الْمُسْلِمِينَ»"
