The History of al-Tabari,تاريخ الطبري
سقطمنالنسخة,"تاريخ الرسل والملوك، وصلة تاريخ الطبري"
Volume I,الجزء الأول
"In the Name of God, the Merciful, the Compassionate",بِسْمِ اللَّهِ الرَّحْمنِ الرَّحِيمِ
"PRAISED BE GOD, first before any first and last after any last, enduring without cease and persevering in everything without moving away, Creator of His creation from no original or model!","الحمد لله الأول قبل كل أول، والآخر بعد كل آخر، والدائم بلا زوال، والقائم على كل شيء بغير انتقال، والخالق خلقه من غير أصل ولا مثال،"
He is singular and unique without number. He remains after everyone infinitely without term.,"فهو الفرد الواحد من غير عدد، وهو الباقي بعد كل أحد، إلى غير نهاية ولا أمد"
"His are glory and greatness, splendor and might, authority and power.","له الكبرياء والعظمة، والبهاء والعزة، والسلطان والقدرة،"
"He is above having a partner in His authority, or in His uniqueness having one like Him, or in His administration an aid or helper, or having a child or spouse or ""any equal.""","تعالى عن أن يكون له شريك في سلطانه أو في وحدانيته نديد، أو في تدبيره معين أو ظهير، أو أن يكون له ولد، أو صاحبه أو كفء أحد،"
"He cannot be fully imagined and encompassed by the regions and ""reached by the eyes while He reaches them. He is subtle and knowledgeable.""","لا تحيط به الأوهام، ولا تحويه الأقطار، ولا تُدْرِكُهُ الْأَبْصارُ، وهو يدرك الأبصار، وهو اللطيف الخبير."
I praise Him for His benefits and am grateful to Him for His favors in the manner befitting one who singles Him out for praise and who hopes to receive more (favors) from Him for having been grateful.,"أحمده على آلائه، وأشكره على نعمائه، حمد من أفرده بالحمد، وشكر من رجا بالشكر منه المزيد،"
I ask Him to grant me to say and do what will bring me close to Him and please Him. I believe in Him as one who declares oneness belonging exclusively to Him and who reserves glorification for Him alone.,"وأستهديه من القول والعمل لما يقربني منه ويرضيه، وأومن به إيمان مخلص له التوحيد، ومفرد له التمجيد."
"I confess that there is no God but God, being one and having no partner. I confess that Muhammad is His noble servant and His trustworthy Messenger whom He chose for transmitting His message and sent with His revelation to call His creation to worship Him.","وَأَشْهَدُ أَنْ لا إِلَهَ إِلا اللَّهُ وَحْدَهُ لا شريك له، وأشهد أن محمدا عبده النجيب، ورسوله الأمين، اصطفاه لرسالته، وابتعثه بوحيه، داعيا خلقه إلى عبادته،"
"He manifested His command, labored strenuously in His path, advised His nation (ummah), and worshiped Him until death came to him from God, never flagging in his effort and never relaxing in his strenuous labor.","فصدع بأمره، وجاهد في سبيله، ونصح لأمته، وعبده حتى أتاه اليقين من عنده، غير مقصر في بلاغ، ولا وان في جهاد،"
May God bless him with the most excellent and purest prayer and give him peace!,"صلى الله عليه أفضل صلاة وأزكاها، وسلم."
(Introduction),
