ABU ’L-HASAN 'ALI IBN ISMA'IL AL AS 'ARI’S,الإبانة عن أصول الديانة
AL-IBANAH AN USUL AD-DIYANAH,
(The Elucidation of Islam’s Foundation),أبو الحسن علي بن إسماعيل بن إسحاق بن سالم بن إسماعيل بن عبد الله بن موسى بن أبي بردة بن أبي موسى الأشعري
,
"In the Name of God, the Merciful, the Compassionate.",بسم الله الرحمن الرحيم
سقطمنالنسخة,وهو حسبي ونعم الوكيل
,وصلى الله على سيدنا محمد وعلى آله وصحبه وسلم
The Sayyid and Imam Abu ’l-Hasan 'Ali ibn Isma'il al-As'arl al-Basri (may God have mercy upon him!) said:,قال الشيخ الإمام العالم أبو الحسن علي بن إسماعيل بن علي بن أبي بشر الأشعري البصري رحمه الله:
"Praise to God! the One, the Almighty, the Glorious, the only One to whom unity is ascribed, the Magnified in praise, whom the attributes of human beings do not adequately describe.","1- الحمد لله الواحد الأحد، العزيز الماجد، المتفرد بالتوحيد، والمنفرد بالتمجيد، الذي لا تبلغه صفات العبيد،"
"He has neither adversary nor rival, and He is the Creator and the Restorer, “the Doer of what He wills.”","ليس له مثل ولا نديد، وهو المبدئ المعيد، الفعال لما يريد،"
"He is too exalted to possess consorts or children, too holy to associate with the genera of creation or things corrupt.","جل عن اتخاذ الصواحب والأولاد، وتقدس عن ملابسة الأجناس والأرجاس،"
"He has not any form capable of expression, nor is a definition of Him by means of a simile possible.","ليست له عثرة تقال، ولا حد يضرب له مثال،"
"He has always had the attributes of primacy and power, and He will always continue to be knowing and cognizant.","لم يزل بصفاته أولا قديرا، ولا يزال عالما خبيرا،"
"His knowledge embraces created things, His will is fully realized in them, and the secrets of things are not far from Him.","استوفى الأشياء علمه، ونفذت فيها إرادته، فلم تعزب عليه خفيات الأمور،"
"The vicissitudes of passing time do not alter Him, nor does fatigue or weariness overtake Him in the creation of anything He creates, nor does exhaustion or loss of power touch Him.","ولم تغيره سوالف صروف الدهور، ولم يلحقه في خلق شيء مما خلق كلال ولا تعب، ولا مسه لغوب ولا نصب،"
"He creates things by His power, directs them by His wish, compels them by His strength, and reduces them by His might; wherefore the proud submit to His power, the lofty are subject to the strength of His lordship, doubters are cut off from a sure foundation in the knowledge of Him, to Him the necks of men submit, and the prudence of the discreet is confounded in His kingdom.","خلق الأشياء بقدرته، ودبرها بمشيئته، وقهرها بجبروته، وذللها بعزته، فذل لعظمته المتكبرون، واستكان لعز ربوبيته المتعظمون، وانقطع دون الرسوخ في علمه العالمون، وذلت له الرقاب، وحارت في ملكوته فطن ذوى الألباب،"
"By His word, the seven heavens arose, the extended earth is fixed, the firm mountains are established, the “fertilizing winds”T blow, the clouds pursue their journey in the celestial atmosphere, and the seas observe their bounds.","وقامت بكلمته السماوات السبع، واستقرت الأرض المهاد، وثبتت الجبال الرواسي، وجرت الرياح اللواقح، وسار في جو السماء السحاب، وقامت على حدودها البحار،"
"He is a compelling God,",وهو الله الواحد القهار. 
"to whom the strong do homage and the exalted bow, and the worlds render Him their duty whether they will or no.",سقطمنالنسخة
"We praise Him as He praises Himself, and as He merits and deserves, and as the praisers among all His creatures praise Him.","2- فنحمده كما حمد نفسه، وكما هو أهله ومستحقه، وكما حمده الحامدون من جميع خلقه،"
"We ask His help in the manner of one who entrusts his affairs to Him and confesses that there is no asylum or refuge from Him, but only to Him.","ونستعينه استعانة من فوض الأمر إليه، وأقر أنه لا منجى ولا ملجأ إلا إليه،"
We ask His forgiveness in the manner of One who confesses his wrongdoing and acknowledges his sin.,"ونستغفره استغفار مقر بذنبه، معترف بخطيئته."
