"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"By Imaam Abu Bakr Ahmad bin 'Alee Al-Khateeb
Al-Baghdaadee [Died: 463H]",______: ___ ___ ____ __ ___ __ ____ __ ____ __ ____ ______ ________ (_______: 463__)
"With Verification and notes by
Imaam Muhammad Naasir-ud-Deen Al-Albaanee",______: ____ ____ _____ ________
Introduction to the Treatise,___________
"We give thanks to Allaah, the One free of all defects, for having guided us.And we ask Him to grant us the ability to act upon what He has given us knowledge of, for indeed, goodness cannot be attained except by His success and assistance. Whomsoever Allaah leads astray, there is no one from His creation that can guide him.","________ _______ ___________ _____ ___ ____________ ____________ ____________ __________ _____ _________ _______ _________ ___ ________ ______ _____________ ______________ ______ ________ _______ _____ _______ ____ ____ ____________"
"May Allaah send His praises upon Muhammad, the chief of the first and the last, as well as his brothers from among the prophets and messengers, and those who follow the light (i.e. the Qur'aan) that was revealed to him until the Day of Recompense.","________ _______ _____ __________ _________ _______ _____________ ______________ _______ ___________ ____ _____________ _________________ _______ ____ ________ ________ _______ ________ ______ _____ ______ _________"
"To proceed:
I advice you O seeker of knowledge to have a sincere and pure intention in your search for knowledge, and that you exert yourself in acting upon what it mandates (from action). This is since knowledge is a tree and action is its fruit. And one can never be considered knowledgeable so long as he doesn't act upon what he knows.","_____ ______ ________ ___ _______ _________ ___________ __________ ___ _________ ___________ _________ _____ _________ ____________ _______ _________ ________ ___________ _________ ________ _______ ________ ____ ____ ______ __________ _________"
"It has also been stated: ""Knowledge is a parent and action is its offspring"" and 'Knowledge comes with action, while narrating comes with investigating.""
So do not feel satisfied with actions so long as you are lacking in knowledge, nor feel satisfied with knowledge so long as you fall short in producing actions. Rather, combine between them both, even if your share two is small.","_______: _________ _______ ___________ __________ ___________ ____ __________ ______________ ____ ____________ _____ ________ ___________ ___ ______ _____________ ____ __________ _____ ________ ___________ ___ ______ __________ ___ _________ ________ _______ ____________ ______ _____ _________ __________"
"And there is nothing worse than a scholar whose knowledge the people abandon because of the corruption of his ways, or an ignorant person lose ignorance the people accept because of what they see from his worship.","_____ ______ ________ ____ _______ ______ ________ ________ _________ ____________ _________ ______ ________ __________ ____________ _____ ___________"
"So a little of this (knowledge) along with a little of that (action) is what is lost likely to save you in the end, when Allaah bestows His mercy upon His servant and completes His favour upon him. But as for laziness and negligence, love for ease and comfort, preferring the easy life, showing indifference, and inclining towards leisure and relaxation, then the results of these characteristics are blameworthy, detestable and disastrous.","____________ ____ _____ ____ __________ ____ _____ _______ ___ ____________ _____ _________ _______ ______________ _________ _____ ________ ____________ ________ ______________ ______________ _______ ____________ __________________ __________ _________ ___________ ___________ ____ __________ ____________ _______ _________ ______ __________ __________ ____________ _________ __________"
"Knowledge leads to action, just as action leads to salvation. So if the action falls short of the knowledge, then the knowledge becomes a burden upon the one who possesses it. And we seek refuge in Allaah from knowledge that turns into a burden, brings about humiliation, and becomes a shackle on the neck of the one who possesses it.","___________ _______ __________ _____ _________ _______ ____________ _______ _____ _________ ________ ____ __________ _____ _________ ______ _____ ___________ _________ _________ ____ ______ _____ _______ __________ _______ _______ ___ ________ _________ _______"
"Some of the wise people have said: ""Knowledge is the servant of action"" and ""Action is the main objective of knowledge - so if it were not for action, knowledge would not be sought, and if it were not for knowledge, action would not be sought. And if I were to not follow the truth out of ignorance of it, that would be more beloved to me than if I were to not follow it out of intentionally abstaining from it.""","_____ ______ ____________: _________ _______ __________ ___________ _______ __________ _________ _________ ____ ________ ______ _________ _________ ____ ________ _______ ________ ______ ________ _______ ____ _______ _______ ____ ____ ________ _______ ______"
"Sahl bin Muzaahim, may Allaah have mercy on him, said: ""The matter is tighter upon a scholar than when one clenches his fist. Even though an ignorant person is not excused because of his ignorance, a scholar will still receive a greater punishment if he abandons what he has knowledge of and doesn't act upon it.”","_______ ______ ____ _________: _________ ________ _____ __________ ____ ______ _____________ ____ _____ __________ ___ ________ ______________ _______ __________ _______ ________ _____ ______ ___ ______ ______ ________ _____"
"So did those of our Salaf (predecessors) from the past reach the high levels that they did except through sincerity in Creed (Beliefs), righteous actions and overwhelming abstinence of the attractive features of this worldly life? And did the wise people reach the greatest level of success (that they did) except by working hard in their efforts, being pleased with little sustenance, and giving away any of their excess provisions to the poor and needy?","_____ _________: ______ ________ ____ _________ ___________ ____________ ________ ______ ___________ ______________ ___________ __________
_ ___________ __________ ___ _____ ___ _____ ____ __________. ______ ______ ____________ _____ ____________ __________ ______ ______________ ___ __________ __________ _______________ ________ ___ ______ ____ __________ ___________ _______________"
Is not the one who collects books of knowledge just like the one who collects gold and silver? Is not the one who has an intense craving for them just like the one who yearns and longs for gold and silver? Is not the one who is deeply in love with them just like the one who treasures gold and silver?,______ _______ ______ _________ ______ _________ __________ ____________ ______ ____________ _____ ______ ____________ _________ ____________ ______ ___________ __________ ______ _______________
"So just as there is no benefit in wealth unless it is spent, then likewise, there is no benefit in knowledge unless it is acted upon and its obligations carried out.","_______ ___ ________ ____________ ______ _______________ ________ ___ ________ __________ ______ ______ ______ ______ ________ _____________"
"Therefore, let each individual examine himself and take advantage of his time, for indeed the resting place (i.e. this world) is short, the (time for) departure is near, the road is hazardous, deviating from it is common, the danger is great, the one who takes himself to account has insight, Allaah, the Most High, is watching, and to Him is the (final) recourse and return.","____________ _______ ___________ ______________ _________ _______ __________ _______ ____________ ________ ____________ ________ _______________ ________ ___________ ________ ____________ ________ _________ ________ _______________ __________ ___________ ____________"
"""And whosoever does an atom's weight of good, shall see it. And whosoever does an atom's weight of evil, shall see it."" [Surah Az-Zilzaal: 7-8]","{______ ________ _________ _______ _______ _______ ______ ________ _________ _______ ______ ______} [_______: 8]"
Text of the Treatise,___________
