"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
,"أخبرنا أبو عبد الله محمد بن إدريس بن العباس بن عثمان بن شافع بن السائب بن عبيد بن عبدِ يزيد بن هاشم بن المطلب بن عبد مناف المطلبيُّ، ابن عم رسول الله صلى الله عليه وسلم."
"«Praise be to God, Who has created the heavens and the earth and made darkness and light. Yet those who do not believe ascribe equals to their Lord.»","الحمد لله الذي خلق السماوات والأرض، وجعل الظلمات والنور، ثم الذين كفروا بربهم يعدلون.
"
"And praise be to God for Whose acts of grace no one can be thankful save through another act of His grace, which, through its bestowal on one giving thanks for past acts of grace, constitutes a new act of grace for which He must be thanked.","والحمد لله الذي لا يُؤدى شُكر نعمة من نِعَمِهِ؛ إلا بنعمة منه توجب على مؤدي ماضي نعمه بأدائها نعمةً حادثةً، يجب عليه شكره بها.
"
"Those who seek to describe Him do not capture the magnitude of His greatness, He Who is as He has described Himself and is above His creatures’ description of Him.","ولا يبلغ الواصفون كُنه عظمته. الذي هو كما وصف نفسه، وفوق ما يصفه به خلقه."
I praise Him as befits His honor and sublime glory.,"أحمده حمداً كما ينبغي لكرم وجهه وعِز جلاله.
"
"I, a creature without power or strength save through Him, seek His assistance.","وأستعينه استعانةَ من لا حول له ولا قوة إلا به.
"
"I beseech Him for His guidance, through which none on whom He bestows it goes astray.","وأستهديه بهداه الذي لا يضل من أنعم به عليه.
"
"I seek His pardon for what I will do and for what I have already done, a pardon for one who affirms his own servitude and who knows that none can forgive his sin or save him, save Him.","وأستغفره لما أَزلفت وَأَخرت: استغفار من يُقر بعبوديته، ويعلم أنه لا يغفر ذنبه ولا ينجيه منه إلا هو.
"
"I witness that there is no god but God, alone, Who has no partner; and that Muhammad is His servant and Emissary.","وأشهد أن لا إله إلا الله وحده لا شريك له، وأن محمداً عبده ورسوله."
God sent Muhammad while people were of two classes:,بعثه والناس صنفان:
"One class comprised the people of scripture, who exchanged His rulings for others and disbelieved in God. They concocted a lie that they fashioned with their tongues, and mixed it together with the truth that God had revealed to them.","أحدهما: أهل كتاب بدّلوا من أحكامه، وكفروا بالله، فافتعلوا كذبا صاغوه بألسنتهم، فخلطوه بحق الله الذي أَنزل إليهم.
"
"He (blessed and exalted) spoke to His Prophet of their disbelief: «There is a party of them who twist their tongues with the Scripture, that you may think it to be from the Scripture when it is not from the Scripture. They say, “It is from God,” when it is not from God. They speak lies against God knowingly.»","فذكر تبارك وتعالى لنبيه من كفرهم، فقال: (وإن منهم لفريقا يلوون ألسنتهم بالكتاب، لتحسبوه من الكتاب، وما هو من الكتاب، ويقولون هو من عند الله، وما هو من عند الله، ويقولون على الله الكذب وهم يعلمون.) (سورة آل عمران / 78)
"
"Then He said (sublime His mention): «Woe to those who write the Scripture with their own hands and then say, “This is from God,” so that they may sell it for a paltry price. Woe to them for what their hands have written. Woe to them for what they earn.»","ثم قال: (فويل للذين يكتبون الكتاب بأيديهم، ثم يقولون: هذا من عند الله، ليشتروا به ثمنا قليلاً، فويل لهم مما كتبت أيديهم، وويل لهم مما يكسبون).
"
"And He said (blessed and exalted): «The Jews say, “Ezra is the son of God”; and the Christians say, “The Messiah is the son of God.” That is what they say with their mouths, conforming to what was said by those who disbelieved before them—may God confound them. How embroiled in lies they are! They have taken their rabbis and monks as well as the Messiah, son of Mary, as lords apart from God—yet they were commanded to serve only one god. There is no God but Him. May He be glorified high above what they associate with Him.»","وقال تبارك وتعالى: (وقالت اليهود: عُزَيرٌ ابنُ الله، وقالت النصارى: المسيحُ ابنُ الله. ذلك قولهم بأفواههم. يضاهئون قول الذين كفروا من قبل. قاتلهم الله! أنى يؤفكون؟! اتخذوا أحبارهم ورهبانهم أرباباً من دون الله والمسيحَ ابن مريم. وما أُمروا إلا ليعبدوا إلهاً واحداً لا إله إلا هو، سبحانه عما يشركون) (التوبة 30 - 31).
"
"He (blessed and exalted) also says: «Have you not seen those who were given a portion of the Scripture believing in false gods and idols and saying to those who do not believe, “These are more rightly guided on the way than those who believe”? Those are the ones whom God has cursed. Those whom God curses—you will not find any helper for them.»","وقال تبارك وتعالى: (ألم تر إلى الذين أوتوا نصيباً من الكتاب يؤمنون بالجبت والطاغوت، ويقولون للذين كفروا: هؤلاء أهدى من الذين آمنوا سبيلاً أولئك الذين لَعَنَهم الله، ومن يلعن الله فلن تجد له نصيراً) (النساء 50 - 52)
"
"The other class of people disbelieved in God and invented what God had not permitted. With their own hands they erected stones, pieces of wood, and images that they deemed good, and gave them names that they concocted. They prayed to gods whom they served, and if they deemed good others than those they served, they cast the first ones away and with their hands erected yet others whom they served.","وصنف كفروا بالله، فابتدعوا ما لم يأذن به الله، ونصبوا بأيديهم حجارة وَخُشُبَاً، وَصُوَرَاً استحسنوا، ونبزوا أسماء افتعلوا، ودعوها آلهة عبدوها، فإذا استحسنوا غير ما عبدوا منها، ألقوه ونصبوا بأيديهم غيره، فعبدوه:"
"Those are the Arabs, and a group among the non-Arabs followed the same path, worshipping whatever they deemed good— fish, beasts, stars, fire, and more.","فأولئك العرب. وسلكت طائفة من العجم سبيلهم في هذا، وفي عبادة ما استحسنوا من حوت، ودابة، ونجم، ونار، وغيره.
"
"God spoke to His Prophet of an excuse given by some of those who worshipped other than Him, and who belonged to this class. He (sublime His praise) related the following from them: «“We found our fathers following a religion, and we are following on their traces.”»","فذكر الله لنبيه جواباً من جواب بعض مَن عبد غيره من هذا الصنف، فحكى جل ثناؤه عنهم قولهم: إنا وجدنا آباءنا على أمة، وإنا على آثارهم مقتدون."
"God (blessed and exalted) also said: «And they said, “Do not forsake your gods and do not forsake Wadd nor Suwāʿ nor Yaghūth nor Yaʿūq nor Nasr.” And they have led many astray»","وحكى تبارك وتعالى عنهم: (لا تذرن آلهتكم، ولا تذرن وداً ولا سواعاً، ولا يغوث ويعوق ونسرا، وقد أضلوا كثيرًا) (نوح 23 - 24)"
"and «Mention Abraham in the Book. He was a true friend of God, a prophet, when he said to his father, “O my father, why do you worship something that cannot see nor hear nor be of avail to you in anything?”»","وقال تبارك وتعالى: (واذكر في الكتاب إبراهيم. إنه كان صدّيقاً نبياً إذ قال لأبيه: يا أبت! لم تعبد ما لا يسمع، ولا يبصر، ولا يغني عنك شيئا؟!) (مريم 41 - 42)
"
"And God said: «Recite to them the story of Abraham: When he said to his father and his people, “What do you worship?” They said, “We worship idols, and we shall continue to cleave to them.” He said, “Do they hear you when you call? Or do they benefit you or harm you?”»","وقال: (واتل عليهم نبأ إبراهيم إذ قال لأبيه وقومه: ما تعبدون؟ قالوا: نعبد أصناما فنظل لها عاكفين. قال: هل يسمعونكم إذ تدعون أو ينفعونكم، أو يضرون؟!) (الشعراء 69 - 70)
"
"He also said this about all of them together, reminding them of His acts of grace, informing them of their general sinfulness, and bestowing that grace on those of them who believed: «And recall God’s blessing to you: when you were enemies and He brought reconciliation to your hearts, and by His blessing you became brothers; and you were on the lip of a pit of Fire and he saved you from it. Thus God makes His signs plain for you, that you may be guided.»","وقال في جماعتهم، يذكّرهم مِن نِعَمِهِ، ويخبرهم ضلالتهم عامة، ومَنَّه على مَن آمن منهم: (واذكروا نعمة الله عليكم إذ كنتم أعداء فألف بين قلوبكم، فأصبحتم بنعمته إخواناً، وكنتم على شفا حفرة من النار فأنقذكم منها. كذلك يبين الله لكم آياته لعلكم تهتدون) (آل عمران 103)
"
"Before God saved the people of disbelief through Muhammad, they were, in both their individual differences and shared similarities, united only by the most grievous things: disbelief in God and invention of what God had not permitted.","قال: فكانوا قبل إنقاذه إياهم بمحمد صلى الله عليه وسلم أهلَ كفر في تفرقهم، واجتماعهم. يجمعهم أعظم الأمور: الكفرُ بالله، وابتداع ما لم يأذن به الله."
"May He be exalted far above what they say. There is no God but He, praise be unto Him, Lord and Creator of all.","تعالى عما يقولون علواً كبيراً. لا إله غيره، وسبحانه، وبحمده ربُّ كل شيء وخالقهُ. 
"
Those among them who lived did so just as He described their condition in life: by word and deed incurring their Lord’s displeasure and ever-increasing in disobedience.,"من حيَّ منهم فكما وَصَفَ حاله حياً: عاملاً قائلاً بسخط ربه مزداداً من معصيته.
"
Those who died did so just as He described their words and deeds: they went to His punishment.,"ومن مات فكما وَصَفَ قولَه وعملَه: صار إلى عذابه.
"
"But when the foreordained time came, and then God’s decree to manifest His religion that He had chosen came to pass, after disobedience to Him, which displeased Him, had become prevalent, He then opened the gates of His heavens with His mercy.","فلما بلغ الكتاب أجله فَحَقَّ قضاء الله بإظهار دينه الذي اصطفى بعد استعلاء معصيته التي لم يرض: فَتَحَ أبواب سماواته برحمته،"
"Similarly, His decree remained in effect in His foreknowledge at the time when His decree was revealed in bygone ages.","كما لم يزل يجري - في سابق علمه عند نزول قضائه في القرون الخالية -: قضاؤه.
"
He (blessed and exalted) said: «The people were one community. Then God sent the prophets as conveyors of good tidings and as warners.»,"فإنه تبارك وتعالى يقول: (كان الناس أمة واحدة فبعث الله النبيين مبشرين ومنذرين) (البقرة 213)
"
"His selection—the Chosen for His revelation, the elect for His mission, preferred over all His creatures through the opening of His mercy and the sealing of prophethood, sent with the most all-encompassing mission in comparison with any sent before him, whose mention is exalted and conjoined with that of God in this world and whose intercession is accepted in the next world, most excellent of His creatures, most complete in every virtue that pleases Him in religion and this world, and the best of them in lineage and abode— was Muhammad, His servant and Emissary.","فكان خِيرتُهُ المصطفى لوحيه، المنتخبُ لرسالته المفضلُ على جميع خلقه، بفتحِ رحمته، وختمِ نبوته، وأعمِّ ما أرسل به مرسلٌ قبله المرفوعُ ذِكرُهُ مع ذِكرِه في الأولى، والشافعُ المشفَّعُ في الأخرى، أفضلُ خلقه نفساً، وأجمعُهُم لكل خُلُق رَضِيَهُ في دينٍ ودنيا. وخيرُهم نسباً وداراً محمداً عبدَه ورسولَه. 
"
